kanton_kurz,kanton,durchschnittsalter,jahr
ow,Obwalden,42.7815,2018
nw,Nidwalden,44.0554,2018
zg,Zug,42.103,2018
ti,Tessin,45.2685,2018
schweiz,Schweiz,42.3525,2018
vd,Waadt,40.5589,2017
vs,Wallis,42.6587,2017
ge,Genf,40.9076,2017
be,Bern,43.5597,2017
fr,Freiburg,40.1751,2017
so,Solothurn,43.2817,2017
ne,Neuenburg,42.0052,2017
ju,Jura,42.943,2017
bs,Basel-Stadt,43.61,2017
bl,Basel-Landschaft,44.2958,2017
ag,Aargau,41.9386,2017
zh,Zürich,41.4889,2017
gl,Glarus,43.1673,2017
sh,Schaffhausen,43.9247,2017
ar,Appenzell A.Rh.,42.9421,2017
ai,Appenzell I.Rh.,41.8717,2017
sg,St. Gallen,41.7744,2017
gr,Graubünden,44.1949,2017
tg,Thurgau,41.9249,2017
lu,Luzern,41.6083,2017
ur,Uri,43.0518,2017
sz,Schwyz,42.4889,2017
ow,Obwalden,42.5068,2017
nw,Nidwalden,43.7931,2017
zg,Zug,41.9184,2017
ti,Tessin,45.0074,2017
schweiz,Schweiz,42.2136,2017
vd,Waadt,40.5046,2016
vs,Wallis,42.4312,2016
ge,Genf,40.8728,2016
be,Bern,43.4211,2016
fr,Freiburg,39.9607,2016
so,Solothurn,43.1335,2016
ne,Neuenburg,41.8633,2016
ju,Jura,42.7313,2016
bs,Basel-Stadt,43.6806,2016
bl,Basel-Landschaft,44.1324,2016
ag,Aargau,41.7757,2016
zh,Zürich,41.4317,2016
gl,Glarus,43.0073,2016
sh,Schaffhausen,43.7632,2016
ar,Appenzell A.Rh.,42.7918,2016
ai,Appenzell I.Rh.,41.5613,2016
sg,St. Gallen,41.5769,2016
gr,Graubünden,43.9455,2016
tg,Thurgau,41.7322,2016
lu,Luzern,41.4386,2016
ur,Uri,42.927,2016
sz,Schwyz,42.21,2016
ow,Obwalden,42.2212,2016
nw,Nidwalden,43.5774,2016
zg,Zug,41.7594,2016
ti,Tessin,44.7695,2016
schweiz,Schweiz,42.0834,2016
vd,Waadt,40.4375,2015
vs,Wallis,42.2471,2015
ge,Genf,40.8165,2015
be,Bern,43.3534,2015
fr,Freiburg,39.8112,2015
so,Solothurn,43.0353,2015
ne,Neuenburg,41.7248,2015
ju,Jura,42.5661,2015
bs,Basel-Stadt,43.7202,2015
bl,Basel-Landschaft,44.0238,2015
ag,Aargau,41.6722,2015
zh,Zürich,41.4156,2015
gl,Glarus,42.8845,2015
sh,Schaffhausen,43.7233,2015
ar,Appenzell A.Rh.,42.7353,2015
ai,Appenzell I.Rh.,41.4406,2015
sg,St. Gallen,41.4312,2015
